bagglepipes,ˈbagɫ̩paɪps,Dahl
bogglebox,ˈbɒgɫ̩bɒks,
bootbogglers,ˈbuːtbɒgləz,
bopmuggered,ˈbɒpmʌgəd,
crabcruncher,ˈkrabkrʌnʧə,
crodscollop,ˈkrɒdskɒləp,
crodsquinkled,ˈkrɒdskwɪŋkɫ̩d,
exundly,ɪgˈzʌndli,
fluckgungled,ˈflʌkgʌŋgɫ̩d,
flushbunkled,ˈflʌʃbʌŋkɫ̩d,
frizzlecrump,ˈfrɪzɫ̩krʌmp,
frobscottle,ˈfrɒbskɒtɫ̩,
frothbungling,ˈfrɒθbʌŋglɪŋ,
gloriumptious,glɔːriˈʌmpʃəs,
gobblefunk,ˈgɒbɫ̩fʌŋk,
googler,ˈguːglə,
gunzleswiped,ˈgʌnzɫ̩swaɪpt,
hornswoggle,ˈhɔːnswɒgɫ̩,
jumbly,ˈʤʌmbli,
jumpsquiffling,ˈʤʌmpskwɪflɪŋ,
kiddles,ˈkɪdɫ̩z,
lickswishy,ˈlɪkswɪʃi,
lixivate,ˈlɪksɪveɪt,
majester,ˈmaʤəstə,
muggled,ˈmʌgɫ̩d,
oompa-loompa,ʊmpəˈlʊmpə,
phiswizzards,ˈfɪzwɪzədz,
phizz-whizzing,ˈfɪzwɪzɪŋ,
poisnowse,ˈpɔɪznaʊz,
porteedo,pɔːˈtiːdəʊ,
quogwinkle,ˈkwɒgwɪŋkɫ̩,
ringbeller,ˈrɪŋbelə,
snozzcumber,ˈsnɒzkʌmbə,
splitzwiggled,ˈsplɪtswɪgɫ̩d,
splotch-winkle,ˈsplɒʧwɪŋkɫ̩,
squibble,ˈskwɪbɫ̩,
svollop,ˈsvɒləp,*
swatchscollop,ˈswɒʧskɒləp,
swigpill,ˈswɪgpɪl,
swogswallowed,ˈswɒgswɒləʊd,
trogglehumper,ˈtrɒgɫ̩hʌmpə,
vermicious knid,vəˈmɪʃəs,
,knɪd,*
whizzpopping,ˈwɪzpɒpɪŋ,
whoopsy-splunkers,ˈwʊpsisplʌŋkəz,
wiffling,ˈwɪflɪŋ,
acromantula,akrəˈmantjʊlə,Rowling
ashwinder,ˈaʃwɪndə,
augurey,ˈɔːgjəri,
basilisk,ˈbazəlɪsk,
billywig,ˈbɪliwɪg,
bowtruckle,ˈbəʊtrʌkɫ̩,
bundimun,ˈblʌndɪmʌn,
chizpurfle,ˈʧɪzpɜːfɫ̩,
clabbert,ˈklabət,
crup,krʌp,
demiguise,ˈdemɪgaɪz,
diricawl,ˈdɪrɪkɔːl,
doxy,ˈdɒksi,
dugbog,ˈdʌgbɒg,
erkling,ˈɜːklɪŋ,
erumpent,ɪˈrʌmpənt,
flitterby,ˈflɪtəbaɪ,
flobberworm,ˈflɒbəwɜːm,
fwooper,ˈfwuːpə,*
glumbumble,ˈglʌmbʌmbɫ̩,
graphorn,ˈgraphɔːn,
grindylow,ˈgrɪndiləʊ,
horklump,ˈhɔːklʌmp,
jobberknoll,ˈʤɒbənɒl,
kneazle,ˈniːzɫ̩,
lethifold,ˈleθɪfəʊld,
lobalug,ˈlɒbəlʌg,
mackled malaclaw,ˈmakɫ̩d,
,ˈmaləklɔː,
moke,məʊk,
murtlap,ˈmɜːtlap,
niffler,ˈnɪflə,
nogtail,ˈnɒgteɪl,
nundu,ˈnʌndu,
occamy,ˈɒkəmi,
plimpy,ˈplɪmpi,
pogrebin,pəˈgrebɪn,
porlock,ˈpɔːlɒk,
puffskein,ˈpʌfskeɪn,
quintaped,ˈkwɪntəped,
re'em,riəm,
runespoor,ˈruːnspɔː,
shrake,ʃreɪk,
snidget,ˈsnɪʤət,
streeler,ˈstriːlə,
tebo,ˈtiːbəʊ,
thestral,ˈθestrəl,
