lilliput,ˈlɪlɪpʊt,Swift pt1
hekinah,ˈhekɪnɑː,Lilliput
degul,ˈdegʊl,
tolgo,ˈtɒlgəʊ,
phonac,ˈfɒnak,
langro,ˈlaŋgrəʊ,
dehul,deˈhʊl,
san,san,
hurgo,ˈhɜːgəʊ,
borach,ˈbɒraʧ,
mivola,mɪˈvəʊlə,
peplom,ˈpeplɒm,
selan,seˈlan,
quinbus flestrin,ˈkwɪnbəs,
,ˈflestrɪn,
ranfu-lo,ˈranfuːˈləʊ,
clefren frelock,ˈklefrən,
,ˈfrelɒk,
marsi,ˈmɑːsi,
flimnap,ˈflɪmnap,
reldresal,relˈdresəl,
skyresh bolgolam,ˈskaireʃ,
,ˈbɒlgəlam,
galbet,ˈgalbət,
blustrugs,ˈblʌstrʌgs,
belfaborac,belˈfabərak,
mildendo,mɪlˈdendəʊ,
tramecksan,ˈtrameksan,
slamecksan,ˈslameksan,
drurr,drɜː,
lustrog,ˈlʌstrɒg,
blundecral,ˈblʌndəkral,
alcoran,ˈalkəran,
glumgluff,ˈglʌmglʌf,
nardac,ˈnɑːdak,
burglum,ˈbɜːgləm,
glimigrim,ˈglɪmɪgrɪm,
flunec,ˈfluːnek,
snilpall,ˈsnɪlpal,
sprug,sprʌg,
clustril,ˈklʌstrɪl,
drunlo,ˈdrʌnləʊ,
clumglum,ˈklʌmglʌm,
galbet,ˈgalbət,
limtoc,ˈlɪmtɒk,
lalcon,ˈlalkɒn,
balmuff,ˈbalmʌf,
calin deffar plune,ˈkeɪlɪn,
,ˈdefɑː,
,pluːn,
brobdingnag,ˈbrɒbdɪŋnag,Part 2
grildrig,ˈgrɪldrɪg,Brobdingnag
glumdalclitch,ˈglʌmdəlklɪʧ,
splacknuck,ˈsplaknʌk,
grultrud,ˈgrʌltrʌd,
lorbrulgrud,ˈlɔːbrʌlgrʌd,
slardral,ˈslɑːdral,
moydores,ˈmɔɪdɔːz,
scrutore,ˈscruːtɔː,
pelplum scalcath,ˈpelpləm,
,ˈskalkaθ,
glonglung,ˈglɒŋglʌŋ,
flanfasnic,flanˈfasnɪk,
laputa,laˈpuːtə,Part 3
climenole,ˈklɪmənəʊl,Laputa etc
lagado,ləˈgɑːdəʊ,
flandona gagnole,flanˈdəʊnə,
,ˈgagnəʊl,
balnibarbi,ˈbalnɪbɑːbi,
lindalino,lɪndəˈlinəʊ,
munodi,mʊˈnəʊdi,
tribnia,ˈtrɪbniə,
langden,ˈlaŋdən,
maldonada,maldəˈnɑːdə,
glubdubdrib,glʌbdʌbˈdrɪb,
luggnagg,ˈlʌgnag,
eliogabulus,eliəˈgabjʊles,
clumegnig,kləˈmegnɪg,
traldragdubb,ˈtraldragdʌb,
ickpling,ˈɪkplɪŋ,
gloffthrobb,ˈglɒfθrɒb,
squutserumm,ˈskwʌtsərʌm,
blhiop,blhiɒp,
mlashnalt,ˈmlaʃnalt,
zwin,zwɪn,
tnodbalkguffh,ˈtnɒdbalkgʌfh,
slhiophad,ˈslhiɒphad,
gurdlubh,ˈgɜːdlʌbh,
asht,aʃt,
fluft,flʌft,
drin,drɪn,
yalerick,ˈjalərɪk,
dwuldom,ˈdwʌldəm,
prastrad,ˈprastrad,
mirpush,ˈmiəpʊʃ,
biffmarklub,ˈbɪfmɑːklʌb,
struldbrugs,ˈstrʌldbrʌgz,
slumskudask,ˈslʌmskʊdask,
glanguenstald,ˈglangʊənstald,
