agrajag,ˈagrəʤag,Adams
beeblebrox,ˈbiːbɫ̩brɒks,
zaphod,ˈzafɒd,
gallumbits,gəˈlʌmbɪts,
bethselamin,beθˈseləmɪn,
brockian,ˈbrɒkiən,
oolon colluphid,ˈuːlɒn,
,kəˈluːfɪd,
damogran,ˈdaməgran,
dentrassis,denˈtrasɪs,
fook,fuːk,
frood,fruːd,
gargravarr,ˈgɑːgrəvɑː,
hrung,hrʌŋ,
praxibetel,ˈpraksɪbetəl,
betelgeuse,ˈbetəlgɜːz,
janx,ʤaŋks,
jatravartids,ʤatrəvɑːˈtɪdz,
arkle,ɑːkɫ̩,
prostetnic jeltz,prɒˈstetnɪk,
,ʤelts,
lamuella,lamˈwelə,
lintilla,lɪnˈtɪlə,
loonquawl,ˈluːnkwɔːl,
lunkwill,ˈlʌŋkwɪl,
magrathea,məˈgraθiə,
majikthise,ˈmaʤɪkθaɪz,
thrashbarg,ˈθraʃbɑːg,
pouchg,paʊʧg,*
blugblatter,ˈblʌgblatə,
traal,trɑːl,
silastic,sɪˈlastɪk,
striterax,ˈstrɪtəraks,
slartibartfast,slɑːtiˈbɑːtfast,
strag,strag,
trin tragula,trɪn,
,ˈtragjʊlə,
viltvodel,ˈvɪltvəʊdəl,
vogon,ˈvəʊgɒn,
freddled,ˈfredɫ̩d,
gruntbuggly,ˈgrʌntbʌgli,
plurdled,ˈplɜːdɫ̩d,
gabbleblotchits,ˈgabɫ̩blɒʧɪts,
lurgid,ˈlɜːʤɪd,
mordiously,ˈmɔːdiəsli,
earted,ˈɜːtəd,
jurtles,ˈʤɜːtɫ̩z,
jurpling,ˈʤɜːplɪŋ,
slayjid,ˈsleɪʤɪd,
agrocrustles,ˈagrəʊkrʊsɫ̩z,
hagrilly,ˈhagrɪli,
axlegrurts,ˈaksɫ̩grɜːts,
glupules,ˈgluːpjuːlz,
frart,frɑːt,
slipulate,ˈslɪpjʊleɪt,
groop,gruːp,
foonting,ˈfuːntɪŋ,
turling,ˈtɜːlɪŋ,
hooptiously,ˈhuːpʃəsli,
drangle,ˈdraŋgɫ̩,
blindlewurdles,ˈblɪndɫ̩wɜːdɫ̩z,
gobberwarts,ˈgɒbəwɔːts,
blurglecruncheon,ˈblɜːgɫ̩krʌnʧən,
vogsol,ˈvɒgsɒl,
vroomfondel,ˈvruːmfɒndəl,*
wonko,ˈwɒŋkəʊ,
wowbagger,ˈwaʊbagə,
zarquon,ˈzɑːkwɒn,
zark,ˈzɑːk,
snooglehoort,ˈsnuːgɫ̩hɔːt,
altravargus,ˈaltrəvɑːgəs,
vreon,ˈvriɒn,*
enteropia,entəˈrəʊpiə,
scrupts,skrʌpts,
scrupture,ˈskrʌpʧə,
squamp,skwɒmp,
golgafrincham,gɒlgəˈfrɪnʧəm,
arium,ˈariəm,
kakrafoon,ˈkakrəfuːn,
belcerebon,belˈserəbɒn,
voojagig,ˈvuːʤəgɪg,
maximegalon,maksɪˈmegəlɒn,
dolmen saxo,ˈdɒlmən,
,ˈsaksəʊ,
allitnils,əˈlɪtnɪlz,
hig hurtenflurst,hɪg,
,ˈhɜːtn̩flɜːst,
blart,blɑːt,
versenwald,ˈvɜːsn̩wald,
effrafax,ˈefrəfaks,
gag halfrunt,gag,
,ˈhalfrʌnt,
garkbit,ˈgɑːkbɪt,
gognilla mincefiend,gɒgˈnɪlə,
,ˈmɪnsfiːnd,
googleplex,ˈguːgɫ̩pleks,
grunthos,ˈgrʌnθɒs,
hactar,ˈhaktɑː,
humma kavula,ˈhʌmə,
,ˈkavjʊlə,
hurling frootmig,ˈhɜːlɪŋ,
,ˈfruːtmɪg,
kwaltz,kwɒlts,
lajestic vantrashell,ləˈʤestɪk,
,ˈvantrəʃel,
lob,lɒb,
lallafa,ˈlaləfə,
lazlar lyricon,ˈlazlɑː,
,ˈlɪrɪkɒn,
lig lury,lɪg,
,ˈlueri,
sanvalvwag,ˈsanvalvwag,
hollop,ˈhɒlɒp,
quordlepleen,ˈkwɔːdɫ̩pliːn,
poodoo,ˈpuːduː,
prak,prak,
hooli,ˈhuːli,
questular rontok,ˈkwestjʊlə,
,ˈrɒntɒk,
roosta,ˈruːstə,
sulijoo,ˈsuːlɪʤuː,
trin tragula,trɪn,
,ˈtragjʊlə,
veet voojagig,viːt,
,ˈvuːʤəgɪg,
werdle sheng,ˈwɜdɫ̩,
,ʃeŋ,
yooden vranx,ˈjuːdn̩,
,vranks,*
zarniwoop,ˈzɑːnɪwuːp,
zem,zem,
squornshellous,ˈskwɔːnʃələs,
